1122,143,145,142,144:20386
229,10094,10413,10093,10098:7954
10084,10127,10091,97,1413:5712
144,142,145,143,1122:5549
10090,93,93,108,115:5339
252,53,10072,10005,1:5130
97,10091,136,10081,137:4999
1014,1016,1015,1166,10145:4645
10145,1166,1015,1016,1014:4532
1164,1,10072,243,252:4266
10097,10095,230,10096,10098:4225
1089,242,1088,1087,10098:3479
107,144,142,145,143:3407
579,149,1015,1016,1014:3364
10606,72,10608,71,1181:3262
255,236,254,238,275:3155
259,10013,10014,270,270:3131
270,10013,10014,1002,1001:3123
10068,10104,59,10122,10568:3106
234,71,10608,72,10606:3003
136,10081,137,139,87:2992
1001,1002,10013,10014,270:2973
1167,10073,82,10073,1167:2878
10013,10014,1002,1001,1165:2868
1180,253,10403,73,240:2781
10093,10096,230,10095,10097:2779
1092,242,1088,1087,10098:2747
1079,1077,1074,1016,1015:2728
10612,10611,10636,10610,1182:2699
1165,579,149,1166,10145:2657
143,1122,10100,260,10135:2650
263,226,95,1413,263:2648
10405,10124,10123,264,10071:2615
10098,10093,10413,10094,1169:2584
1180,53,10072,10005,1:2568
268,143,145,142,144:2491
1187,5,1014,1016,1015:2441
10624,10605,10603,10602,1069:2433
102,10092,91,1056,10064:2373
1115,1303,1302,1082,1081:2330
1014,1016,1015,1023,1022:2315
1115,1303,1302,1301,1301:2309
10136,129,136,10081,137:2276
10618,10606,10608,71,1181:2270
1166,10568,10122,59,10104:2214
228,10610,10636,10611,181:2213
591,590,588,587,586:2203
10140,10118,10105,10086,10615:2200
231,10107,138,10110,10109:2196
1165,1002,10013,10014,270:2187
587,588,589,590,591:2165
10099,10092,91,1056,10064:2125
10410,5,1014,1016,1015:2071
10568,10122,59,10104,10068:2062
10618,10606,72,10608,1181:2040
136,10081,137,139,1042:2026
1092,1089,242,1088,1087:2011
145,142,144,142,145:2000
104,106,112,10053,1084:1986
10611,10636,10610,1034,1182:1965
143,143,145,142,144:1948
144,142,145,143,1171:1943
10104,59,10122,10568,1166:1938
581,10084,10127,10091,97:1932
582,129,10127,10091,97:1907
98,93,93,108,115:1903
137,10081,136,129,10136:1894
1015,1016,1014,5,274:1884
255,236,238,254,275:1874
2,10005,1,1413,263:1862
91,10092,10099,102,10066:1831
234,10608,72,10606,10634:1830
586,588,589,590,591:1818
10638,1180,53,10072,2:1818
259,10013,10014,1166,10145:1801
10068,1018,10126,160,10070:1785
10568,10122,59,10104,64:1757
1014,1016,1015,579,149:1747
149,10084,10127,10091,97:1716
10612,10637,1014,1016,1015:1707
234,10608,72,10606,10619:1706
234,71,10608,10606,10634:1703
149,10568,10122,59,10104:1698
1092,1089,242,1088,10098:1624
1009,1008,1007,1006,1001:1604
1005,1006,1007,1002,259:1604
588,588,589,590,591:1587
10064,91,10092,10099,92:1587
10013,10014,259,242,1088:1580
10629,10615,10086,10105,10118:1577
68,10121,1066,1067,10133:1576
1115,1301,572,573,575:1549
142,145,145,142,144:1542
1015,10568,10122,59,10104:1532
270,1166,1015,1016,1014:1524
1087,1088,1168,1089,1092:1521
1088,1168,259,10013,10014:1521
10610,10636,10611,10612,10637:1516
1168,1089,259,10013,10014:1505
1167,1167,10073,10073,1167:1494
87,139,137,10081,136:1486
1111,1112,124,126,1115:1477
274,10410,1014,1016,1015:1475
10082,10593,10080,10632,10594:1467
228,10610,10636,10611,10612:1466
5,10602,10603,10605,10624:1456
228,1034,10610,10636,10611:1454
1115,1303,1302,1301,1082:1411
10097,10095,259,10013,10014:1409
10127,10091,97,10057,10056:1402
579,149,1166,10145,10146:1394
1164,1,10072,243,253:1388
242,1089,1088,1087,10098:1388
10632,10080,10593,163,10082:1379
10097,10095,230,10096,10413:1378
10146,10145,10013,10014,259:1376
10615,10086,10105,10118,10140:1361
1168,259,10013,10014,270:1357
586,587,588,590,591:1355
1115,1301,572,573,574:1351
129,10127,10091,97,1413:1349
10013,10014,259,10095,10097:1344
248,10013,10014,270,270:1328
10064,1056,91,10092,10099:1321
10091,136,10081,137,139:1309
10146,10145,1166,1015,1016:1308
10632,10594,10595,10117,10087:1307
1115,1303,1302,1301,1115:1296
