268,1122,143,145,142,144:4022
97,10091,136,10081,137,139:3865
10618,10606,72,10608,71,1181:3773
10013,10014,227,227,10013,10014:3644
1187,252,53,10072,10005,1:3405
234,71,10608,72,10606,10634:2968
10612,10611,10636,10610,1034,1182:2718
586,587,588,589,590,591:2660
10064,91,10092,10099,102,10066:2609
1092,1089,242,1088,1087,10098:2595
234,71,10608,72,10606,10619:2289
107,144,142,145,143,1171:2209
1087,1088,1168,259,10013,10014:2052
274,10410,5,1014,1016,1015:2040
137,10081,136,136,10081,137:1990
10638,1180,53,10072,10005,1:1958
107,144,142,145,143,1122:1857
136,10081,137,139,1042,87:1807
1080,1079,1077,1074,1016,1015:1762
10405,10124,10123,264,171,10071:1756
10066,102,10092,91,1056,10064:1722
10638,1180,253,10403,73,240:1701
234,71,10608,72,10606,10618:1640
10619,10606,72,10608,71,1181:1544
579,149,10568,10122,59,10104:1533
137,10081,136,10084,10127,10091:1527
228,10610,10636,10611,1070,181:1498
10005,1,93,93,108,115:1470
10634,10609,10606,10608,71,1181:1451
144,142,145,143,1122,1171:1437
1167,10073,5,1014,1016,1015:1433
10629,10615,10086,10105,10118,10140:1371
136,10081,137,137,10081,136:1365
270,10013,10014,1002,1001,1165:1359
10568,10122,59,10104,10068,10126:1343
5,1014,1016,1015,1166,10145:1337
226,97,10091,136,10081,137:1319
1115,1303,1302,1301,1082,1081:1307
1015,1016,1074,1077,1079,1080:1293
228,1035,1034,10610,10636,10611:1292
1115,1301,572,573,575,574:1277
92,1057,10099,10092,91,1056:1274
10145,1166,1015,1016,1014,5:1263
10146,10145,1166,1015,1016,1014:1246
95,97,91,1056,91,10092:1241
10068,1018,10126,160,10070,10071:1236
10634,10609,10606,72,10608,1181:1234
10126,1018,10104,59,10122,10568:1232
10064,91,10092,10099,1057,92:1223
268,110,95,110,261,1171:1206
1014,1016,1015,1015,1016,1014:1184
10078,10090,93,93,108,115:1172
10605,10624,10623,10622,10621,10620:1169
1015,1016,1014,1014,1016,1015:1158
1164,10072,243,252,1187,10007:1154
92,1057,10099,10092,91,10064:1131
231,10107,138,1046,10110,10109:1116
10081,136,10084,10127,10091,97:1098
10084,10127,10091,97,10057,10056:1097
10624,10605,10603,10602,1069,5:1059
1018,10068,10104,59,10122,10568:1030
10064,1056,91,10092,10099,1057:997
2,10005,1,93,108,115:990
1092,242,1089,1088,1087,10098:989
10128,10632,10594,10595,10117,10087:974
10077,10076,10405,10124,10123,264:967
229,10094,10413,10413,10094,1169:966
144,142,145,145,142,144:892
10013,10014,259,1089,242,1088:880
10013,10014,259,242,1088,1087:870
1115,1303,1302,1301,1301,1082:862
1034,10610,10636,10611,10612,10637:852
91,1056,10064,10078,10090,93:852
97,10091,579,149,1166,10145:841
10621,10622,10623,10624,10605,10603:837
10080,10632,10594,10595,10117,10087:837
5,237,10088,10130,73,240:836
1014,1016,1015,1166,10145,10146:834
1015,1016,1014,5,1187,10007:824
10600,10612,10611,10636,10610,1182:811
10109,10110,1046,138,10107,1184:809
1164,1,10072,243,253,1180:801
168,169,10104,59,10122,10568:789
1115,1303,1302,1301,1301,1115:787
10068,1018,10126,160,10070,172:780
1002,1007,1006,1005,1004,1003:770
241,252,53,10072,10005,1:767
10064,1056,91,10092,10099,92:745
145,142,144,144,142,145:744
10126,1018,10068,10104,10122,10568:743
591,590,588,589,590,591:742
2,10005,1,10078,100,10066:740
