KKID,KKMC,CLOUD_ID,TOLLGATENO,DWSSQY,DWZT,QDFS,QDDBH,QDQBMS,JGZT,SFNRGJJH,FXS,DWPMT,DWPMTMS,DXXSJT,DXXSJTMS,NXBSJT,NXBSJTMS,XXDSJT,XXDSJTMS,BXNSJT,BXNSJTMS,ISDELFLG,JGSB
0272013TS10020,武汉大道(岳家嘴至东湖中学)TS,523,0272013TS10020,2,0,信号机取电,,,,2,1,upload/20150106/20150106155401wuhandadaodonghuzhongxue.jpg,,,,,,,,upload/20150106/20150106155409dong.jpg,,1,
0272014TS10036,天鹅路_白鹭街路口TS,1112,0272014TS10036,2,0,信号机取电,,,,2,1,upload/20150113/20150113150117tianlubailujie.jpg,,,,,,,,upload/20150113/20150113150125n.jpg,,1,
9000001,欢乐大道红庙卡口,1001,0272013JY00009,3,0,,,,,,2,,,,,,,,,,,1,
9000002,欢乐大道青化卡口,1002,0272013JY00010,3,,,,,,,2,,,,,,,,,,,1,
4.201E+17,解放大道解放公园路口,1017,12015,1,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,沿江大道青岛路口,1018,12016,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,后湖大道百步亭花园路口,194,12025,3,3,,,,,,2,,,,,,,,,,,1,
4.201E+17,自治街前进四路口,198,12029,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,东一路洪山侧路,1121,11129,1,3,,,,,,2,,,,,,,,,,,1,
4.201E+17,书城路石牌岭,1122,11148,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,光谷一路高新六路口LF,1123,11137,4,0,,,,,,3,,,,,,,,,,,1,
0272010TS10012,徐东大街_友谊大道TS,581,0272010TS10012,2,0,信号机取电,,,,2,4,upload/20141231/20141231144445xudongdajieyouyidadao.jpg,,upload/20141231/20141231144519youyidadaoE.jpg,,upload/20141231/20141231144512youyidadaoS.jpg,,upload/20141231/20141231144507YOUYIDADAOw.jpg,,upload/20141231/20141231144501youyidadaoN.jpg,,1,
0272014bk10010,关山大道_华夏学院_出城bk,1169,0272014bk10010,,,,,,,,1,upload/20141210/20141210111135guanshandadao.jpg,,,,,,,,,,1,
0272014bk10011,民族大道_三环线_北1KM_出城bk,1170,0272014bk10011,,,,,,,,1,upload/20141210/20141210111204minzudadao.jpg,,,,,,,,,,1,
0272014bk10012,文化大道_三环线_北300M_出城bk,1171,0272014bk10012,,,,,,,,1,upload/20141210/20141210111230wenhuadadao.png,,,,,,,,,,1,
0272014bk10014,白沙洲大道_三环线_北200M_出城bk,1413,0272014bk10014,,,,,,,,1,upload/20141210/20141210111256bsz.jpg,,,,,,,,,,1,
0272014bk10005,谌家矶大道_三环线_进城出城bk,1173,0272014bk10005,,,,,,,,2,upload/20141210/20141210111406chenjiaji.jpg,,,,,,,,,,1,
0272014bk10017,国博大道_三环线_进城出城bk,1176,0272014bk10017,,,,,,,,2,upload/20141210/20141210111521guobodadao.jpg,,,,,,,,,,1,
0272014bk10004,团结大道_三环线_进城出城bk,1177,0272014bk10004,,,,,,,,2,upload/20141210/20141210111552tuanjiedadao.jpg,,,,,,,,,,1,
0272013kx13001,金桥大道与和谐大道路口,586,0272013kx13001,3,0,信号机,,,,,3,,,,,,,,,,,1,
4.201E+17,中北路洪山广场北LF,256,0272012LF12115,1,2,,,,,,2,,,,,,,,,,,1,
4.201E+17,崇仁路(中山大道至沿河大道)LF,161,0272012LF12123,2,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,多福路(中山大道至沿河大道)LF,162,0272012LF12126,1,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,解放大道三环线_东500M_进城LF,234,0272012LF12131,3,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,解放大道新华路路口,1025,12030,,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,马场角路新华下路路口,1029,12037,2,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,京汉大道_游艺路口,1030,12038,1,0,,,,,,4,,,,,,,,,,,1,
4.201E+17,解放大道汉西路口,1032,12040,2,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,解放大道宝丰一路口,1033,12041,1,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,南泥湾大道古乐路口,1034,12042,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,琴台大道罗七路东100MLF,252,0272012LF12107,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,江城大道_梅子山隧道(往月湖桥)LF,253,0272012LF12108,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,京汉大道_公安路口,1103,12020,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,后湖大道后湖五路,1104,12027,3,0,,,,,,2,,,,,,,,,,,1,
0272014bk10013,和平大道建设九路_出城bk,1184,0272014bk10013,,,,,,,,1,upload/20141210/20141210112118hepingjianjiu.jpg,,,,,,,,,,1,
4.201E+17,江汉一桥西便道(至沿河大道)LF,266,0272012LF12124,2,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,芳草大道四新大道北LF,274,0272012LF12155,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,航空路立交桥二层东LF,275,0272012LF12156,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,澳门路绿缘路路口,184,12011,,,,,,,,2,,,,,,,,,,,1,
4.201E+17,琴台大道_江城大道东500MLF,53,0272012LF12144,2,0,,,,,,1,,,,,,,,,,,1,
0272014JW10001,八一路隧道南出口处,1301,0272014JW10001,3,0,,,,,,2,,,,,upload/20150226/20150226100145鍏竴璺毀閬撳崡鍑哄彛.jpg,,,,,,1,
4.201E+17,京汉大道崇仁路,74,0272012HY12019,1,0,信号机,,,,2,4,upload/20140910104759/19京汉大道崇仁路.jpg,,,,,,,,,,1,
0272014HK10100,长江大桥_黄鹤楼（武昌至汉阳HK),1164,0272014HK10100,1,0,,,,,,1,,,,,,,,,,,1,
0272014bk10021,解放大道汉黄路_出城bk,10002,0272014bk10021,,,,,,,,1,upload/20141210/20141210111942jiefanghanhuang.jpg,,,,,,,,,,1,
4.201E+17,京汉大道_江汉路,75,0272012HY12021,1,0,信号机,,,,2,3,upload/20140910105015/21京汉大道江汉路.jpg,,,,,,,,,,1,
4.201E+17,恒安路雅安街,110,0272012ZM12319,2,0,信号机,,,,1,3,,,,,,,,,,,1,
4.201E+17,红旗渠路_新华路,79,0272012HY12025,,,信号机,,,,2,2,upload/20140910110409/25红旗渠路新华路.jpg,,,,,,,,,,1,
4.201E+17,芳草大道四新北路,81,0272012HY12027,3,0,信号机,,,,2,3,upload/20140910110903/27芳草大道四新北路.jpg,,,,,,,,,,1,
4.201E+17,丁字桥路文安路丁字路口,114,0272012ZM12323,2,0,信号机,,,,2,3,,,,,,,,,,,1,
4.201E+17,洪山路_省委门口,126,0272012ZM12325,2,0,信号机,,,,2,1,,,,,,,,,,,1,
0272014bk10022,高新二路_进城出城bk,1186,0272014bk10022,,,,,,,,2,upload/20141210/20141210112015gaoxinerlu.jpg,,,,,,,,,,1,
0272014bk10023,米粮山立交_进城出城bk,1187,0272014bk10023,,,,,,,,2,upload/20141210/20141210112051miliangshandadao.png,,,,,,,,,,1,
4.201E+17,长江隧道LF,151,0272012LF12164,2,0,,,,,2,2,,,,,,,,,,,1,
0272012TS10026,二环线_二七大桥武昌奥山前后拍TS,529,0272012TS10026,2,0,信号机取电,,,,2,2,upload/20150106/20150106155553erhuangxianerqidaqiaokakou.jpg,,upload/20150106/20150106155600E.jpg,,,,upload/20150106/20150106155605W.jpg,,,,1,
4.201E+17,和平大道新生路,83,0272012HY12029,1,0,信号机,,,,2,1,upload/20140910111554/29和平大道新生路.jpg,,,,,,,,,,1,
4.201E+17,临江大道电厂站,84,0272012HY12030,1,0,信号机,,,,2,3,upload/20140910111800/30临江大道电厂.jpg,,,,,,,,,,1,
4.201E+17,友谊大道团结路,131,0272012ZM12327,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,友谊大道才华街（二桥大队）,136,0272012ZM12329,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,友谊大道才茂街,137,0272012ZM12330,3,0,,,,,2,2,,,,,,,,,,,1,
4.201E+17,友谊大道铁机集团门口,139,0272012ZM12331,3,0,信号机,,,,2,2,,,,,,,,,,,1,
0272013TS10019,徐东大街(团结大道至麦德龙)TS,522,0272013TS10019,2,0,信号机取电,,,,1,1,,,,,,,,,,,1,
4.201E+17,书城路文馨街路口,143,0272012ZM12332,2,0,信号机,,,,2,4,,,,,,,,,,,1,
4.201E+17,书城路文治街路口,145,0272012ZM12334,2,0,信号机,,,,2,4,,,,,,,,,,,1,
4.201E+17,书城路南湖大道丁字路口,141,0272012ZM12336,2,0,,,,,2,3,,,,,,,,,,,1,
4.201E+17,丁字桥南路建安街,140,0272012ZM12337,2,3,信号机,,,,2,3,,,,,,,,,,,1,
4.201E+17,和平大道建七路口,138,0272012ZM12338,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,友谊大道建二路口,133,0272012ZM12339,3,0,信号机,,,,2,1,,,,,,,,,,,1,
4.201E+17,青王公路动车基地,130,0272012ZM12341,4,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,青王公路武东路丁字路口,128,0272012ZM12342,4,0,信号机,,,,2,2,,,,,,,,,,,1,
