"KKID","KKMC","FBDX","KKTP","SSDL","DLID","KKWZDZ","SSJGID","SSJG","BZZT","SBLX","X","Y","KKLX","CSSBBH","DDMS","SSXQ","JKFS","KKZY","BSFW","JJDS","SGDW","JSSJ","YSSJ","ZBQ","JSZT","QTSB","BZ","DYLYD","YDYDJL","DYLX","WLJRFS","WLTGS","YWLJRDJL","DLKD","LMCZ","CDS","RJTLL","YWFJDCD","YWXRD","FJDCDKD","LKID","SBZT","UPDATE_TIME","EAST","SOUTH","WEST","NORTH","HIS_SBZT","HIS_EAST","HIS_SOUTH","HIS_WEST","HIS_NORTH","CLOUD_ID","TOLLGATENO","DWSSQY","DWZT","QDFS","QDDBH","QDQBMS","JGZT","SFNRGJJH","FXS","DWPMT","DWPMTMS","DXXSJT","DXXSJTMS","NXBSJT","NXBSJTMS","XXDSJT","XXDSJTMS","BXNSJT","BXNSJTMS","ISDELFLG","JGSB"
"0272013TS10020","武汉大道(岳家嘴至东湖中学)TS","","","","","","420106000000","武昌大队","1","1","114.36220235509698","30.576767185521953","1","","","武昌大队","","","","","","","","","","","","","","","","","","","","","","","","","","1","2015/6/24 11:14:43","","","","","","","","","","523","0272013TS10020","2","0","信号机取电","","","","2","1","upload/20150106/20150106155401wuhandadaodonghuzhongxue.jpg","","","","","","","","upload/20150106/20150106155409dong.jpg","","1",""
"0272014TS10036","天鹅路_白鹭街路口TS","","","","","","420106000000","武昌大队","1","2","114.34856835509697","30.551838185521955","2","","","武昌大队","","","","","","","","","","","","","","","","","","","","","","","","","","1","2015/6/24 11:14:43","","","","","","","","","","1112","0272014TS10036","2","0","信号机取电","","","","2","1","upload/20150113/20150113150117tianlubailujie.jpg","","","","","","","","upload/20150113/20150113150125n.jpg","","1",""
"9000001","欢乐大道红庙卡口","","","","","","420111000000","洪山大队","1","1","114.37087335509699","30.58976418552195","1","","","洪山大队","","A","","","","","","","","","","","","","","","","","","","","","","","420100000000027070","0","2015/6/24 11:14:43","1","","1","","","","","","","1001","0272013JY00009","3","0","","","","","","2","","","","","","","","","","","1",""
"9000002","欢乐大道青化卡口","","","","","","420111000000","洪山大队","1","1","114.419506355097","30.601597185521953","1","","","洪山大队","","A","","","","","","","","","","","","","","","","","","","","","","","420100000000027077","0","2015/6/24 11:14:43","1","","1","","","","","","","1002","0272013JY00010","3","","","","","","","2","","","","","","","","","","","1",""
"420100120000000101","解放大道解放公园路口","","","","","","420102000000","江岸大队","1","2","114.29660335509699","30.60545418552195","2","","","江岸大队","","","","","","","","","","","","","","","","","","","","","","","","","420100000000000320","1","2015/6/24 11:14:43","","","","","","","","","","1017","12015","1","0","","","","","","3","","","","","","","","","","","1",""
"420100120000000045","沿江大道青岛路口","","","","","","420102000000","江岸大队","1","2","114.29425435509701","30.58305318552195","2","","","江岸大队","","","","","","","","","","","","","","","","","","","","","","","","","420100120000000039","0","2015/6/24 11:14:43","1","","1","","","","","","","1018","12016","1","0","","","","","","2","","","","","","","","","","","1",""
"420100120000000054","后湖大道百步亭花园路口","","","","","","420102000000","江岸大队","1","2","114.30992735509697","30.65678918552195","2","","","江岸大队","","","","","","","","","","","","","","","","","","","","","","","","","420100120000000048","1","2015/6/24 11:14:43","","","","","","","","","","194","12025","3","3 ","","","","","","2","","","","","","","","","","","1",""
"420100120000000058","自治街前进四路口","","","","","","420103000000","江汉大队","1","2","114.279153355097","30.583510185521952","2","","","江汉大队","","","","","","","","","","","","","","","","","","","","","","","","","420100120000000052","1","2015/6/24 11:14:43","","","","","","","","","","198","12029","1","0","","","","","","2","","","","","","","","","","","1",""
"420100000000000176","东一路洪山侧路","","","","","","420111000000","洪山大队","1","2","114.33759635509699","30.54500718552195","2","","","洪山大队","","","","","","","","","","","","","","","","","","","","","","","","","420100000000000211","0","2015/6/24 11:14:43","","","1","","","","","","","1121","11129","1","3 ","","","","","","2","","","","","","","","","","","1",""
"420100000000000209","书城路石牌岭","","","","","","420111000000","洪山大队","1","2","114.32711235509698","30.487391185521947","2","","","洪山大队","","","","","","","","","","","","","","","","","","","","","","","","","420100000000000230","0","2015/6/24 11:14:43","","1","","1","","","","","","1122","11148","","0","","","","","","2","","","","","","","","","","","1",""
"420100000000000188","光谷一路高新六路口LF","","","","","","420118000000","东湖高新大队","1","2","114.43780935509699","30.44139318552195","2","","","东湖高新大队","","","","","","","","","","","","","","","","","","","","","","","","","420100000000000219","0","2015/6/24 11:14:43","1","","1","1","","","","","","1123","11137","4","0","","","","","","3","","","","","","","","","","","1",""
"0272010TS10012","徐东大街_友谊大道TS","","","","","","420106000000","武昌大队","1","2","114.33801335509699","30.592447185521955","2","","","武昌大队","","","","","","","","","","","","","","","","","","","","","","","","","","0","2015/6/24 11:14:43","1","","1","1","","","","","","581","0272010TS10012","2","0","信号机取电","","","","2","4","upload/20141231/20141231144445xudongdajieyouyidadao.jpg","","upload/20141231/20141231144519youyidadaoE.jpg","","upload/20141231/20141231144512youyidadaoS.jpg","","upload/20141231/20141231144507YOUYIDADAOw.jpg","","upload/20141231/20141231144501youyidadaoN.jpg","","1",""
"0272014bk10010","关山大道_华夏学院_出城bk","","","","","","420118000000","东湖高新大队","1","1","114.40283935509698","30.468395185521952","1","","","东湖高新大队","","","","","","","","","","","","","","","","","","","","","","","","","0272014bk10010","0","2015/6/24 11:14:43","","","","1","","","","","","1169","0272014bk10010","","","","","","","","1","upload/20141210/20141210111135guanshandadao.jpg","","","","","","","","","","1",""
"0272014bk10011","民族大道_三环线_北1KM_出城bk","","","","","","420118000000","东湖高新大队","1","1","114.385860355097","30.467199185521945","1","","","东湖高新大队","","","","","","","","","","","","","","","","","","","","","","","","","0272014bk10011","0","2015/6/24 11:14:43","","","","1","","","","","","1170","0272014bk10011","","","","","","","","1","upload/20141210/20141210111204minzudadao.jpg","","","","","","","","","","1",""
"0272014bk10012","文化大道_三环线_北300M_出城bk","","","","","","420111000000","洪山大队","1","1","114.316413355097","30.45661418552195","1","","","洪山大队","","","","","","","","","","","","","","","","","","","","","","","","","0272014bk10012","0","2015/6/24 11:14:43","1","","","","","","","","","1171","0272014bk10012","","","","","","","","1","upload/20141210/20141210111230wenhuadadao.png","","","","","","","","","","1",""
"0272014bk10014","白沙洲大道_三环线_北200M_出城bk","","","","","","420111000000","洪山大队","1","1","114.26588835509697","30.475152185521946","1","","","洪山大队","","","","","","","","","","","","","","","","","","","","","","","","","0272014bk10014","0","2015/6/24 11:14:43","","","1","","","","","","","1413","0272014bk10014","","","","","","","","1","upload/20141210/20141210111256bsz.jpg","","","","","","","","","","1",""
"0272014bk10005","谌家矶大道_三环线_进城出城bk","","","","","","420102000000","江岸大队","1","1","114.376127355097","30.68409018552195","1","","","江岸大队","","","","","","","","","","","","","","","","","","","","","","","","","0272014bk10005","0","2015/6/24 11:14:43","1","","1","","","","","","","1173","0272014bk10005","","","","","","","","2","upload/20141210/20141210111406chenjiaji.jpg","","","","","","","","","","1",""
